|Timestamp|Key|Action
54|2021-11-24 19:59:39,675|Key.space|release
55|2021-11-24 19:59:39,714|'j'|press
56|2021-11-24 19:59:39,831|'j'|release
57|2021-11-24 19:59:39,883|'u'|press
58|2021-11-24 19:59:39,976|'u'|release
59|2021-11-24 19:59:40,086|'g'|press
60|2021-11-24 19:59:40,181|'g'|release
61|2021-11-24 19:59:40,235|'e'|press
62|2021-11-24 19:59:40,339|'e'|release
63|2021-11-24 19:59:40,462|Key.space|press
64|2021-11-24 19:59:40,564|Key.space|release
65|2021-11-24 19:59:41,120|'b'|press
66|2021-11-24 19:59:41,218|'b'|release
67|2021-11-24 19:59:41,337|'l'|press
68|2021-11-24 19:59:41,425|'l'|release
69|2021-11-24 19:59:41,508|'o'|press
70|2021-11-24 19:59:41,571|'n'|press
71|2021-11-24 19:59:41,627|'o'|release
72|2021-11-24 19:59:41,710|'n'|release
73|2021-11-24 19:59:41,778|'d'|press
74|2021-11-24 19:59:41,868|Key.space|press
75|2021-11-24 19:59:41,877|'d'|release
76|2021-11-24 19:59:41,971|Key.space|release
77|2021-11-24 19:59:41,981|'q'|press
78|2021-11-24 19:59:42,090|'q'|release
79|2021-11-24 19:59:42,095|'u'|press
80|2021-11-24 19:59:42,144|'i'|press
81|2021-11-24 19:59:42,223|'u'|release
82|2021-11-24 19:59:42,242|Key.space|press
83|2021-11-24 19:59:42,304|'i'|release
84|2021-11-24 19:59:42,369|Key.space|release
85|2021-11-24 19:59:42,503|'f'|press
86|2021-11-24 19:59:42,607|'f'|release
87|2021-11-24 19:59:42,627|'u'|press
88|2021-11-24 19:59:42,733|'u'|release
89|2021-11-24 19:59:42,845|'m'|press
90|2021-11-24 19:59:42,919|'m'|release
91|2021-11-24 19:59:42,997|'e'|press
92|2021-11-24 19:59:43,102|'e'|release
93|2021-11-24 19:59:43,137|Key.shift_r|press
94|2021-11-24 19:59:43,225|'.'|press
95|2021-11-24 19:59:43,277|Key.shift_r|release
96|2021-11-24 19:59:43,337|';'|release
97|2021-11-24 19:59:43,407|Key.enter|press
98|2021-11-24 19:59:43,484|Key.enter|release
99|2021-11-24 19:59:44,244|Key.shift_r|press
100|2021-11-24 19:59:44,529|'J'|press
101|2021-11-24 19:59:44,607|Key.shift_r|release
102|2021-11-24 19:59:44,657|'j'|release
103|2021-11-24 19:59:44,754|'o'|press
104|2021-11-24 19:59:44,853|'o'|release
105|2021-11-24 19:59:45,280|'y'|press
106|2021-11-24 19:59:45,373|'e'|press
107|2021-11-24 19:59:45,386|'y'|release
108|2021-11-24 19:59:45,471|'e'|release
109|2021-11-24 19:59:45,492|'u'|press
110|2021-11-24 19:59:45,583|'u'|release
111|2021-11-24 19:59:45,638|'x'|press
112|2021-11-24 19:59:45,749|'x'|release
113|2021-11-24 19:59:46,261|','|press
114|2021-11-24 19:59:46,318|Key.space|press
115|2021-11-24 19:59:46,367|','|release
116|2021-11-24 19:59:46,437|Key.space|release
117|2021-11-24 19:59:46,485|'i'|press
118|2021-11-24 19:59:46,574|'n'|press
119|2021-11-24 19:59:46,617|'n'|release
120|2021-11-24 19:59:46,626|'i'|release
121|2021-11-24 19:59:47,334|'v'|press
122|2021-11-24 19:59:47,433|'r'|press
123|2021-11-24 19:59:47,488|'e'|press
124|2021-11-24 19:59:47,504|'v'|release
125|2021-11-24 19:59:47,560|'r'|release
126|2021-11-24 19:59:47,614|'e'|release
127|2021-11-24 19:59:47,972|','|press
128|2021-11-24 19:59:48,027|Key.space|press
129|2021-11-24 19:59:48,081|','|release
130|2021-11-24 19:59:48,153|Key.space|release
131|2021-11-24 19:59:48,174|'f'|press
132|2021-11-24 19:59:48,266|'a'|press
133|2021-11-24 19:59:48,282|'f'|release
134|2021-11-24 19:59:48,376|'t'|press
135|2021-11-24 19:59:48,385|'a'|release
