|Timestamp|Key|Action
802|2021-11-24 20:09:23,622|Key.backspace|release
803|2021-11-24 20:09:23,722|'f'|press
804|2021-11-24 20:09:23,768|Key.space|press
805|2021-11-24 20:09:23,817|'f'|release
806|2021-11-24 20:09:23,863|Key.space|release
807|2021-11-24 20:09:23,883|'t'|press
808|2021-11-24 20:09:23,931|'h'|press
809|2021-11-24 20:09:23,986|'t'|release
810|2021-11-24 20:09:24,012|'e'|press
811|2021-11-24 20:09:24,022|'h'|release
812|2021-11-24 20:09:24,099|Key.space|press
813|2021-11-24 20:09:24,124|'e'|release
814|2021-11-24 20:09:24,195|Key.space|release
815|2021-11-24 20:09:24,521|'j'|press
816|2021-11-24 20:09:24,603|'j'|release
817|2021-11-24 20:09:24,611|'o'|press
818|2021-11-24 20:09:24,691|'u'|press
819|2021-11-24 20:09:24,733|'o'|release
820|2021-11-24 20:09:24,772|'r'|press
821|2021-11-24 20:09:24,782|'u'|release
822|2021-11-24 20:09:24,871|'n'|press
823|2021-11-24 20:09:24,888|'r'|release
824|2021-11-24 20:09:24,969|'n'|release
825|2021-11-24 20:09:25,019|'e'|press
826|2021-11-24 20:09:25,064|'e'|release
827|2021-11-24 20:09:25,721|Key.backspace|press
828|2021-11-24 20:09:25,791|Key.backspace|release
829|2021-11-24 20:09:25,804|'z'|press
830|2021-11-24 20:09:25,907|'z'|release
831|2021-11-24 20:09:26,252|Key.backspace|press
832|2021-11-24 20:09:26,327|Key.backspace|release
833|2021-11-24 20:09:26,561|'e'|press
834|2021-11-24 20:09:26,630|'z'|press
835|2021-11-24 20:09:26,676|'e'|release
836|2021-11-24 20:09:26,688|Key.space|press
837|2021-11-24 20:09:26,731|Key.space|release
838|2021-11-24 20:09:26,745|'z'|release
839|2021-11-24 20:09:27,126|Key.backspace|press
840|2021-11-24 20:09:27,209|Key.backspace|release
841|2021-11-24 20:09:27,242|Key.backspace|press
842|2021-11-24 20:09:27,310|'z'|press
843|2021-11-24 20:09:27,321|Key.backspace|release
844|2021-11-24 20:09:27,419|'z'|release
845|2021-11-24 20:09:27,871|Key.backspace|press
846|2021-11-24 20:09:27,967|Key.backspace|release
847|2021-11-24 20:09:28,422|'y'|press
848|2021-11-24 20:09:28,531|'y'|release
849|2021-11-24 20:09:29,050|Key.space|press
850|2021-11-24 20:09:29,162|Key.space|release
851|2021-11-24 20:09:29,304|'h'|press
852|2021-11-24 20:09:29,401|'h'|release
853|2021-11-24 20:09:29,451|'o'|press
854|2021-11-24 20:09:29,537|'o'|release
855|2021-11-24 20:09:29,635|'m'|press
856|2021-11-24 20:09:29,717|'m'|release
857|2021-11-24 20:09:29,768|'e'|press
858|2021-11-24 20:09:29,870|'e'|release
859|2021-11-24 20:09:29,885|Key.shift_r|press
860|2021-11-24 20:09:29,911|'.'|press
861|2021-11-24 20:09:29,990|Key.shift_r|release
862|2021-11-24 20:09:30,027|';'|release
863|2021-11-24 20:09:30,192|Key.space|press
864|2021-11-24 20:09:30,236|Key.shift_r|press
865|2021-11-24 20:09:30,293|Key.space|release
866|2021-11-24 20:09:30,502|'O'|press
867|2021-11-24 20:09:30,626|'O'|release
868|2021-11-24 20:09:30,673|Key.shift_r|release
869|2021-11-24 20:09:30,950|Key.backspace|press
870|2021-11-24 20:09:31,031|Key.backspace|release
871|2021-11-24 20:09:31,110|Key.shift_r|press
872|2021-11-24 20:09:31,228|'I'|press
873|2021-11-24 20:09:31,312|Key.shift_r|release
874|2021-11-24 20:09:31,351|'i'|release
875|2021-11-24 20:09:31,404|'t'|press
876|2021-11-24 20:09:31,497|Key.space|press
877|2021-11-24 20:09:31,519|'t'|release
878|2021-11-24 20:09:31,608|Key.space|release
879|2021-11-24 20:09:31,843|'s'|press
880|2021-11-24 20:09:31,926|'s'|release
881|2021-11-24 20:09:31,981|'e'|press
882|2021-11-24 20:09:32,081|'e'|release
883|2021-11-24 20:09:32,171|'e'|press
884|2021-11-24 20:09:32,249|'m'|press
885|2021-11-24 20:09:32,259|'e'|release
886|2021-11-24 20:09:32,334|'m'|release
887|2021-11-24 20:09:32,357|'s'|press
888|2021-11-24 20:09:32,452|'s'|release
889|2021-11-24 20:09:32,660|Key.backspace|press
890|2021-11-24 20:09:32,705|'e'|press
891|2021-11-24 20:09:32,723|Key.backspace|release
892|2021-11-24 20:09:32,756|'d'|press
893|2021-11-24 20:09:32,808|'e'|release
894|2021-11-24 20:09:32,882|'d'|release
895|2021-11-24 20:09:33,879|Key.space|press
896|2021-11-24 20:09:33,973|Key.space|release
897|2021-11-24 20:09:34,034|'n'|press
898|2021-11-24 20:09:34,112|'a'|press
899|2021-11-24 20:09:34,120|'n'|release
900|2021-11-24 20:09:34,211|'a'|release
901|2021-11-24 20:09:34,261|'t'|press
902|2021-11-24 20:09:34,371|'t'|release
903|2021-11-24 20:09:34,461|'u'|press
904|2021-11-24 20:09:34,553|'u'|release
905|2021-11-24 20:09:34,673|'r'|press
906|2021-11-24 20:09:34,759|'a'|press
907|2021-11-24 20:09:34,778|'r'|release
908|2021-11-24 20:09:34,870|'a'|release
909|2021-11-24 20:09:34,876|'l'|press
910|2021-11-24 20:09:34,943|'l'|release
911|2021-11-24 20:09:34,997|'l'|press
912|2021-11-24 20:09:35,091|'l'|release
913|2021-11-24 20:09:35,101|'y'|press
914|2021-11-24 20:09:35,213|Key.space|press
915|2021-11-24 20:09:35,221|'y'|release
916|2021-11-24 20:09:35,311|Key.space|release
917|2021-11-24 20:09:35,585|Key.backspace|press
918|2021-11-24 20:09:35,663|Key.backspace|release
919|2021-11-24 20:09:35,694|Key.backspace|press
920|2021-11-24 20:09:35,789|Key.backspace|release
921|2021-11-24 20:09:35,822|Key.backspace|press
922|2021-11-24 20:09:35,935|Key.backspace|release
923|2021-11-24 20:09:36,433|'l'|press
924|2021-11-24 20:09:36,533|'l'|release
925|2021-11-24 20:09:36,590|'y'|press
926|2021-11-24 20:09:36,696|'y'|release
927|2021-11-24 20:09:36,709|Key.space|press
928|2021-11-24 20:09:36,827|Key.space|release
929|2021-11-24 20:09:37,536|Key.backspace|press
930|2021-11-24 20:09:37,614|Key.backspace|release
931|2021-11-24 20:09:37,657|Key.backspace|press
932|2021-11-24 20:09:37,770|Key.backspace|release
933|2021-11-24 20:09:37,872|Key.backspace|press
934|2021-11-24 20:09:37,974|Key.backspace|release
935|2021-11-24 20:09:38,971|Key.space|press
936|2021-11-24 20:09:39,078|Key.space|release
937|2021-11-24 20:09:39,106|'t'|press
938|2021-11-24 20:09:39,150|'o'|press
939|2021-11-24 20:09:39,199|Key.space|press
940|2021-11-24 20:09:39,210|'t'|release
941|2021-11-24 20:09:39,240|'o'|release
